sampid,fromWhen,gender,yob,b153,b153z,b154,b156,b156z,b157,b158,b159,b160,b308,b162,b163,b166,b169,b184,b220,b221,b222,b223,b224,b225,b228,b241,b242,b243,b244,b245,b276,b277
8539,2009.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8541,2008.0,2.0,1987.0,712.0,13.0,1.0,271.0,0.0,106.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,9090908.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,
8542,2013.0,1.0,1985.0,853.0,16.0,1.0,2111.0,2.0,202.0,1.0,5.0,5.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0
8544,2009.0,2.0,1986.0,649.0,11.0,1.0,263.0,0.0,120.0,3.0,7.0,7.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2800.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0
8545,2010.0,1.0,1984.0,241.0,3.0,3.0,8111.0,8.0,1105.0,1.0,5.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,3600.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0
8546,2010.0,2.0,1987.0,851.0,16.0,3.0,2122.0,2.0,811.0,5.0,5.0,5.0,,,,,1.0,,44.0,0.0,5.5,0.0,2.0,190.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,
8547,2008.0,1.0,1981.0,841.0,15.0,3.0,1405.0,1.0,115.0,5.0,9.0,9.0,,,,,1.0,,40.0,12.0,5.0,0.0,2.0,220.0,4.0,3.0,4.0,3.0,5.0,3.0,1.0,1.0
8548,2013.0,2.0,1990.0,649.0,11.0,2.0,272.0,0.0,113.0,4.0,9.0,9.0,,,7.0,,1.0,,45.0,0.0,5.0,0.0,1.0,2250.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0
8551,2009.0,2.0,1985.0,721.0,13.0,1.0,1404.0,1.0,101.0,1.0,3.0,3.0,,,,,1.0,,50.0,5.0,5.0,2.0,2.0,160.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,
8552,2011.0,1.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8553,2019.0,1.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8554,2014.0,2.0,1983.0,263.0,3.0,2.0,272.0,0.0,120.0,1.0,6.0,6.0,,,,,1.0,,45.0,5.0,5.0,0.0,2.0,200.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,
8557,2016.0,1.0,1991.0,272.0,3.0,1.0,284.0,0.0,831.0,1.0,3.0,3.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,180.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,
8558,2019.0,2.0,1990.0,612.0,10.0,3.0,2312.0,2.0,215.0,1.0,6.0,7.0,,,,,2.0,,20.0,1.0,5.0,0.0,2.0,100.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,
8559,2008.0,2.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8561,2012.0,1.0,1991.0,843.0,15.0,1.0,2503.0,2.0,912.0,3.0,3.0,3.0,,,,,1.0,,50.0,0.0,5.0,0.0,2.0,160.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
