sampid,fromWhen,gender,yob,b153,b153z,b154,b156,b156z,b157,b158,b159,b160,b308,b162,b163,b166,b169,b184,b220,b221,b222,b223,b224,b225,b228,b241,b242,b243,b244,b245,b276,b277
1,2014.0,1.0,1990.0,412.0,6.0,1.0,9015.0,9.0,805.0,4.0,6.0,6.0,1.0,2.0,,1.0,1.0,,42.0,0.0,6.0,0.0,2.0,200.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
2,2017.0,1.0,1989.0,713.0,13.0,1.0,1333.0,1.0,101.0,1.0,6.0,6.0,1.0,2.0,,1.0,1.0,,45.0,0.0,5.0,0.0,2.0,9090908.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,
3,2011.0,1.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013.0,1.0,1989.0,262.0,3.0,1.0,8360.0,8.0,814.0,4.0,6.0,6.0,,2.0,,2.0,1.0,,50.0,10.0,5.0,1.0,2.0,180.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,
10,2014.0,1.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2014.0,2.0,1988.0,855.0,16.0,1.0,2141.0,2.0,113.0,4.0,3.0,3.0,,2.0,,2.0,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,
13,2013.0,2.0,1992.0,872.0,17.0,1.0,2321.0,2.0,902.0,4.0,2.0,2.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,
14,2016.0,1.0,1988.0,551.0,9.0,1.0,263.0,0.0,410.0,4.0,4.0,4.0,,2.0,,1.0,1.0,,45.0,0.0,5.0,0.0,2.0,180.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,
15,2011.0,1.0,1983.0,741.0,14.0,1.0,8340.0,8.0,1110.0,1.0,3.0,3.0,,1.0,4.0,1.0,1.0,,40.0,0.0,5.0,0.0,1.0,2160.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
19,2010.0,1.0,1991.0,477.0,7.0,3.0,6157.0,6.0,903.0,1.0,1.0,9.0,,1.0,1.0,2.0,2.0,,60.0,24.0,5.0,2.0,2.0,100.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,
21,2015.0,1.0,1990.0,311.0,3.0,3.0,283.0,0.0,1501.0,1.0,9.0,9.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,350.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,
22,2013.0,2.0,1992.0,264.0,3.0,3.0,284.0,0.0,828.0,1.0,6.0,9.0,,2.0,,1.0,1.0,,40.0,5.0,5.0,1.0,1.0,2800.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0
23,2015.0,1.0,1988.0,474.0,7.0,3.0,6151.0,6.0,124.0,1.0,4.0,9.0,,2.0,,1.0,1.0,,50.0,0.0,5.0,0.0,2.0,180.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,
24,2017.0,1.0,1992.0,261.0,3.0,3.0,8111.0,8.0,1113.0,4.0,9.0,9.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,400.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,
25,2011.0,2.0,1989.0,861.0,17.0,1.0,3040.0,3.0,705.0,1.0,6.0,6.0,,2.0,,1.0,1.0,,40.0,8.0,5.0,1.0,2.0,200.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0
26,2015.0,2.0,1992.0,861.0,17.0,1.0,3040.0,3.0,102.0,4.0,7.0,7.0,,2.0,,1.0,1.0,,45.0,0.0,6.0,0.0,2.0,270.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,
27,2016.0,1.0,1992.0,713.0,13.0,1.0,241.0,0.0,901.0,1.0,4.0,4.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,
32,2016.0,2.0,1992.0,602.0,10.0,2.0,4111.0,4.0,113.0,4.0,9.0,9.0,,2.0,,2.0,1.0,,32.0,0.0,4.0,0.0,2.0,180.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0
33,2011.0,1.0,1987.0,851.0,16.0,1.0,2122.0,2.0,906.0,5.0,4.0,4.0,,2.0,,1.0,1.0,,44.0,0.0,6.0,0.0,1.0,3000.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
39,2011.0,1.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2010.0,1.0,1984.0,479.0,7.0,1.0,6153.0,6.0,909.0,1.0,1.0,1.0,,,,,,,35.0,0.0,5.0,0.0,1.0,5000.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,
41,2019.0,1.0,1987.0,841.0,15.0,2.0,254.0,0.0,909.0,5.0,8.0,8.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,1.0,2300.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0
43,2014.0,2.0,1989.0,467.0,7.0,1.0,272.0,0.0,909.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,40.0,5.0,5.0,1.0,2.0,180.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,
44,2014.0,2.0,1991.0,464.0,7.0,1.0,6151.0,6.0,827.0,1.0,2.0,2.0,,2.0,,1.0,1.0,,40.0,5.0,5.0,1.0,2.0,160.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,
46,2007.0,2.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2007.0,2.0,1981.0,844.0,15.0,3.0,295.0,0.0,909.0,5.0,7.0,9.0,,,8.0,,1.0,3.0,40.0,0.0,5.0,0.0,2.0,90.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,
49,2007.0,2.0,1987.0,612.0,10.0,9090909.0,9999.0,99.0,9090908.0,9090908.0,4.0,4.0,,,8.0,,1.0,1.0,50.0,0.0,5.0,0.0,2.0,120.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,
52,2016.0,1.0,1991.0,853.0,16.0,1.0,263.0,0.0,913.0,4.0,8.0,8.0,,,2.0,,1.0,,40.0,0.0,5.0,0.0,2.0,130.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,
55,2010.0,1.0,1979.0,11.0,1.0,1.0,9012.0,9.0,913.0,6.0,1.0,1.0,,,,,,,36.0,7.0,6.0,1.0,2.0,0.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,
60,2010.0,2.0,1988.0,20.0,1.0,3.0,272.0,0.0,913.0,4.0,3.0,9.0,,,2.0,,1.0,,40.0,0.0,5.0,0.0,2.0,160.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,
63,2017.0,2.0,1992.0,204.0,3.0,1.0,261.0,0.0,913.0,1.0,5.0,5.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,250.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
64,2010.0,2.0,1985.0,862.0,17.0,1.0,3013.0,3.0,101.0,1.0,1.0,1.0,,,,,,,40.0,0.0,5.0,0.0,2.0,300.0,5.0,3.0,6.0,3.0,5.0,3.0,2.0,
66,2012.0,1.0,1991.0,561.0,9.0,1.0,5323.0,5.0,913.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,120.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,
69,2009.0,1.0,1983.0,551.0,9.0,1.0,8340.0,8.0,913.0,1.0,5.0,5.0,,,,,1.0,,40.0,8.0,5.0,1.0,2.0,150.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,
72,2010.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2010.0,2.0,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2015.0,1.0,1991.0,478.0,7.0,2.0,6151.0,6.0,603.0,1.0,1.0,3.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,
76,2015.0,1.0,1988.0,474.0,7.0,1.0,6140.0,6.0,913.0,1.0,1.0,1.0,,,,,,,84.0,0.0,7.0,0.0,2.0,300.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,
77,2007.0,1.0,1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2010.0,2.0,1992.0,471.0,7.0,3.0,6151.0,6.0,111.0,1.0,9.0,9.0,,,,,1.0,,60.0,1.0,5.0,1.0,2.0,200.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0
79,2011.0,1.0,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2011.0,1.0,1985.0,861.0,17.0,3.0,291.0,0.0,916.0,4.0,4.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,100.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0
81,2015.0,1.0,1983.0,841.0,15.0,3.0,263.0,0.0,913.0,5.0,8.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,250.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,
82,2007.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2009.0,2.0,1989.0,222.0,3.0,1.0,8522.0,8.0,813.0,1.0,6.0,6.0,,,,,1.0,,60.0,10.0,5.0,0.0,2.0,100.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,
84,2007.0,1.0,1980.0,763.0,14.0,2.0,6154.0,6.0,113.0,1.0,8.0,8.0,,,8.0,,1.0,1.0,40.0,0.0,5.0,0.0,1.0,3700.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0
85,2011.0,1.0,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2016.0,1.0,1989.0,463.0,7.0,1.0,6124.0,6.0,802.0,1.0,3.0,3.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
89,2008.0,1.0,1985.0,591.0,10.0,1.0,4169.0,4.0,113.0,1.0,1.0,1.0,,,,,1.0,,37.0,0.0,6.0,0.0,2.0,110.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,
90,2008.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2009.0,2.0,1984.0,855.0,16.0,3.0,2141.0,2.0,802.0,1.0,2.0,9.0,,,,,1.0,,35.0,0.0,5.0,0.0,2.0,175.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,
94,2014.0,2.0,1990.0,264.0,3.0,3.0,1312.0,1.0,108.0,1.0,9.0,9.0,,,,,1.0,,40.0,5.0,5.0,0.0,1.0,4200.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,
95,2012.0,2.0,1990.0,711.0,13.0,1.0,2220.0,2.0,115.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,230.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,
103,2012.0,2.0,1991.0,582.0,10.0,2.0,291.0,0.0,101.0,1.0,8.0,8.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,160.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
104,2014.0,1.0,1990.0,751.0,14.0,1.0,6152.0,6.0,115.0,1.0,6.0,6.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,230.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
105,2016.0,1.0,1992.0,732.0,13.0,1.0,4169.0,4.0,802.0,1.0,6.0,6.0,,,,,1.0,,49.5,0.0,5.5,1.0,2.0,180.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,
106,2008.0,1.0,1982.0,212.0,3.0,2.0,6121.0,6.0,403.0,1.0,6.0,9.0,,,,,1.0,,40.0,10.0,6.0,1.0,1.0,3400.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,
107,2012.0,2.0,1991.0,478.0,7.0,1.0,272.0,0.0,113.0,1.0,3.0,3.0,,,,,1.0,,48.0,0.0,5.5,0.0,2.0,140.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,
108,2009.0,2.0,1985.0,759.0,14.0,1.0,244.0,0.0,101.0,1.0,3.0,3.0,,,,,1.0,,40.0,4.0,5.0,1.0,2.0,150.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,
109,2012.0,1.0,1991.0,861.0,17.0,3.0,8115.0,8.0,802.0,4.0,8.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2000.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
110,2018.0,1.0,1988.0,631.0,10.0,3.0,1343.0,1.0,812.0,2.0,3.0,9.0,,,3.0,,1.0,,40.0,3.0,5.0,0.0,1.0,4200.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,
111,2009.0,1.0,1986.0,901.0,18.0,1.0,4149.0,4.0,815.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,1800.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,
114,2008.0,1.0,1982.0,241.0,3.0,3.0,283.0,0.0,115.0,1.0,6.0,9.0,,,,,,9090908.0,50.0,5.0,5.0,0.0,1.0,3500.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0
117,2012.0,1.0,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2008.0,2.0,1987.0,752.0,14.0,1.0,5212.0,5.0,124.0,1.0,1.0,1.0,,,,,1.0,,55.0,4.0,5.5,0.0,2.0,120.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,
119,2014.0,2.0,1988.0,949.0,19.0,1.0,2339.0,2.0,802.0,1.0,3.0,3.0,,,,,2.0,,18.0,0.0,3.0,0.0,2.0,70.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
120,2008.0,2.0,1988.0,862.0,17.0,1.0,3075.0,3.0,802.0,1.0,3.0,3.0,,,,,1.0,,54.0,0.0,6.0,0.0,2.0,110.0,4.0,3.0,4.0,3.0,3.0,4.0,9090908.0,
121,2008.0,1.0,1990.0,473.0,7.0,1.0,6151.0,6.0,121.0,1.0,2.0,2.0,,,,,1.0,,50.0,5.0,5.0,1.0,2.0,100.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,
122,2013.0,1.0,1983.0,261.0,3.0,2.0,284.0,0.0,813.0,1.0,9.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,3800.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
123,2016.0,1.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2014.0,2.0,1992.0,862.0,17.0,1.0,5113.0,5.0,802.0,1.0,2.0,2.0,,,,,1.0,,48.0,0.0,6.0,0.0,2.0,140.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
130,2014.0,1.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2013.0,2.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2014.0,1.0,1991.0,591.0,10.0,1.0,4155.0,4.0,101.0,1.0,5.0,5.0,,,,,1.0,,40.0,0.0,5.0,1.0,2.0,210.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,
134,2015.0,1.0,1988.0,262.0,3.0,1.0,284.0,0.0,105.0,1.0,5.0,5.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,3500.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,
135,2013.0,1.0,1989.0,739.0,13.0,1.0,4172.0,4.0,101.0,1.0,3.0,3.0,,,,,1.0,,48.0,0.0,6.0,0.0,1.0,2400.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
137,2017.0,2.0,1992.0,841.0,15.0,1.0,254.0,0.0,603.0,5.0,8.0,8.0,,,,,1.0,,40.0,3.0,5.0,0.0,2.0,280.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0
138,2012.0,2.0,1990.0,911.0,18.0,1.0,4204.0,4.0,802.0,1.0,2.0,2.0,,,,,2.0,,12.0,0.0,3.0,0.0,2.0,100.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,
140,2016.0,1.0,1991.0,107.0,3.0,3.0,261.0,0.0,122.0,1.0,5.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,4000.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0
142,2016.0,2.0,1991.0,949.0,19.0,1.0,295.0,0.0,123.0,4.0,8.0,8.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,120.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,
143,2014.0,2.0,1992.0,961.0,19.0,3.0,5119.0,5.0,124.0,1.0,3.0,3.0,,,,,1.0,,60.0,0.0,6.0,0.0,2.0,140.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
144,2011.0,2.0,1987.0,857.0,16.0,3.0,254.0,0.0,802.0,1.0,2.0,4.0,,,,,1.0,,40.0,5.0,5.0,0.0,1.0,1600.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,
147,2008.0,2.0,1988.0,759.0,14.0,1.0,6130.0,6.0,802.0,1.0,5.0,5.0,,,,,2.0,,35.0,0.0,5.0,0.0,3.0,17.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,
148,2013.0,1.0,1984.0,591.0,10.0,1.0,4166.0,4.0,113.0,1.0,4.0,4.0,,,,,1.0,,40.0,10.0,5.0,0.0,1.0,2500.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
150,2014.0,1.0,1989.0,901.0,18.0,1.0,4167.0,4.0,802.0,7.0,1.0,1.0,,,,,,,50.0,0.0,5.0,0.0,4.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
151,2018.0,1.0,1991.0,653.0,11.0,3.0,323.0,0.0,826.0,3.0,3.0,9.0,,,,,1.0,1.0,40.0,3.0,5.0,0.0,1.0,3000.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0
153,2017.0,1.0,1990.0,661.0,11.0,2.0,312.0,0.0,124.0,1.0,9.0,9.0,,,,,1.0,,40.0,12.0,5.0,0.0,1.0,4500.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0
155,2015.0,2.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2014.0,1.0,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2007.0,1.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2010.0,2.0,1992.0,862.0,17.0,1.0,3079.0,3.0,802.0,1.0,1.0,1.0,,,,,1.0,,40.0,3.0,6.0,0.0,2.0,100.0,5.0,3.0,3.0,3.0,1.0,3.0,2.0,
161,2012.0,2.0,1990.0,582.0,10.0,1.0,1332.0,1.0,104.0,6.0,1.0,1.0,,,,,,,30.0,0.0,4.0,0.0,2.0,200.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,
163,2013.0,1.0,1990.0,721.0,13.0,1.0,1402.0,1.0,101.0,1.0,2.0,2.0,,,,,1.0,,40.0,5.0,5.0,0.0,1.0,2000.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
164,2013.0,2.0,1989.0,591.0,10.0,1.0,4111.0,4.0,120.0,1.0,3.0,3.0,,,,,2.0,,40.0,7.0,5.0,0.0,2.0,120.0,5.0,3.0,2.0,3.0,4.0,5.0,2.0,
165,2012.0,2.0,1988.0,561.0,9.0,3.0,6151.0,6.0,802.0,1.0,2.0,6.0,,,,,1.0,,42.0,1.0,6.0,1.0,2.0,140.0,4.0,3.0,2.0,2.0,5.0,1.0,2.0,
166,2013.0,2.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2008.0,2.0,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2016.0,1.0,1991.0,551.0,9.0,1.0,5314.0,5.0,124.0,1.0,9.0,9.0,,,,,1.0,,45.0,0.0,5.0,0.0,2.0,350.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,
169,2010.0,2.0,1987.0,733.0,13.0,1.0,4169.0,4.0,113.0,1.0,1.0,1.0,,,,,1.0,,48.0,8.0,6.0,1.0,2.0,100.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
171,2014.0,2.0,1991.0,901.0,18.0,1.0,4165.0,4.0,113.0,1.0,2.0,2.0,,,,,2.0,,42.0,0.0,7.0,0.0,2.0,180.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
174,2014.0,2.0,1990.0,478.0,7.0,3.0,6151.0,6.0,802.0,1.0,1.0,8.0,,,,,1.0,,60.0,0.0,6.0,0.0,2.0,160.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
176,2014.0,1.0,1991.0,969.0,19.0,2.0,8322.0,8.0,802.0,1.0,6.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
177,2015.0,1.0,1992.0,952.0,19.0,1.0,8124.0,8.0,115.0,1.0,2.0,2.0,,,,,1.0,,50.0,0.0,5.0,0.0,2.0,200.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
179,2010.0,2.0,1987.0,911.0,18.0,3.0,291.0,0.0,802.0,3.0,6.0,9.0,,,,,1.0,,18.0,0.0,2.0,0.0,2.0,40.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,
182,2014.0,2.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2010.0,2.0,1986.0,479.0,7.0,1.0,243.0,0.0,112.0,1.0,8.0,8.0,,,,,1.0,,40.0,10.0,5.0,0.0,1.0,2500.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,
184,2010.0,1.0,1984.0,264.0,3.0,2.0,261.0,0.0,813.0,1.0,9.0,9.0,,,,,1.0,,40.0,5.0,5.0,0.0,1.0,4300.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
185,2011.0,2.0,1987.0,264.0,3.0,2.0,1312.0,1.0,813.0,1.0,9.0,9.0,,,,,1.0,,40.0,20.0,5.0,1.0,1.0,6000.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,
190,2008.0,1.0,1990.0,843.0,15.0,3.0,2503.0,2.0,800.0,5.0,9.0,9.0,,,,,1.0,,44.0,20.0,5.5,1.0,2.0,110.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
191,2013.0,1.0,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2010.0,1.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2012.0,2.0,1988.0,620.0,10.0,2.0,271.0,0.0,101.0,1.0,6.0,8.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,4400.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,
196,2009.0,2.0,1989.0,265.0,3.0,3.0,8360.0,8.0,1110.0,1.0,8.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,130.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0
198,2019.0,1.0,1989.0,639.0,10.0,1.0,4120.0,4.0,123.0,1.0,6.0,6.0,,,,,1.0,,40.0,10.0,5.0,0.0,1.0,3400.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,
199,2018.0,2.0,1985.0,852.0,16.0,1.0,2121.0,2.0,1111.0,3.0,5.0,5.0,,,2.0,,2.0,2.0,12.0,0.0,4.0,0.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,
201,2014.0,2.0,1988.0,855.0,16.0,1.0,2141.0,2.0,813.0,7.0,1.0,1.0,,,,,,,30.0,0.0,5.0,0.0,2.0,250.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
202,2013.0,2.0,1988.0,872.0,17.0,2.0,271.0,0.0,1006.0,3.0,4.0,4.0,,,,,1.0,,45.0,7.0,5.0,1.0,1.0,2300.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,
203,2013.0,2.0,1992.0,479.0,7.0,3.0,6153.0,6.0,112.0,1.0,9.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,1800.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
204,2017.0,1.0,1991.0,841.0,15.0,3.0,251.0,0.0,108.0,5.0,6.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2800.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,
208,2011.0,2.0,1988.0,862.0,17.0,1.0,3064.0,3.0,119.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,170.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,
210,2013.0,2.0,1988.0,845.0,15.0,3.0,323.0,0.0,815.0,5.0,6.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2400.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,
213,2008.0,2.0,1983.0,212.0,3.0,2.0,1221.0,1.0,101.0,2.0,7.0,7.0,,,3.0,,1.0,,40.0,10.0,5.0,0.0,1.0,3750.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0
214,2010.0,2.0,1985.0,841.0,15.0,2.0,251.0,0.0,813.0,5.0,7.0,9.0,,,,,1.0,,40.0,15.0,5.0,0.0,2.0,170.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0
216,2016.0,2.0,1992.0,651.0,11.0,3.0,3040.0,3.0,802.0,3.0,8.0,8.0,,,,,2.0,,40.0,0.0,5.0,0.0,1.0,3240.0,3.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0
217,2014.0,2.0,1991.0,732.0,13.0,1.0,4153.0,4.0,113.0,1.0,8.0,8.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2400.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,
219,2008.0,1.0,1980.0,222.0,3.0,2.0,261.0,0.0,826.0,1.0,6.0,7.0,,,,,1.0,,40.0,10.0,5.0,1.0,2.0,180.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,
220,2019.0,1.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2016.0,2.0,1992.0,855.0,16.0,1.0,2144.0,2.0,101.0,1.0,1.0,1.0,,,3.0,,2.0,,20.0,2.0,4.0,1.0,2.0,150.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,
223,2012.0,2.0,1987.0,264.0,3.0,3.0,263.0,0.0,115.0,1.0,6.0,6.0,,,,,1.0,,42.0,2.0,5.0,1.0,2.0,160.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,
224,2016.0,2.0,1992.0,649.0,11.0,1.0,294.0,0.0,120.0,1.0,9.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2400.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,
225,2012.0,2.0,1990.0,853.0,16.0,1.0,2152.0,2.0,817.0,4.0,6.0,6.0,,,,,1.0,,40.0,3.0,5.0,0.0,1.0,2040.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,
229,2013.0,1.0,1991.0,701.0,13.0,1.0,8329.0,8.0,812.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,1800.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,
231,2012.0,1.0,1987.0,582.0,10.0,2.0,1333.0,1.0,118.0,1.0,4.0,4.0,,,,,1.0,,40.0,5.0,5.0,0.0,1.0,2880.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
