시도,행정구,삶의 만족도,1인당 GRDP,신혼부부수_스케일링,신혼부부수,평균 자살율,평균 소득,미술관,도서관,박물관,인당_기관수_스케일링,청년인구당_기관수_스케일링,인당_학원수_스케일링,인당_초/중/고_개수,학생당_학교수,공원수,평균공원면적,공원시설통합num평균,평균년도,응급실병상수 총합,병원,보건소,보건의료원,보건지소,보건진료소,상급종합,약국,요양병원,의원,정신병원,조산원,종합병원,치과병원,치과의원,한방병원,한의원
대전,대덕구,0.1461,4415,0.435917711,3270,28.6,34183,,,,0.163811508,0.165031917,0.287469047,0.000406030435,0.00413173653,83,11808.15181,3.722891566,1992.39759,6.367730657,2.315538421,0.578884605,0,0,0.578884605,0,49.20519144,1.736653815,59.62511433,0.578884605,0,1.15776921,0.578884605,28.94423026,0,26.62869184
울산,중구,0.3973,2252,0.308059044,3377,20.6,39241,1,2,2,0.0670651383,0.0845699697,0.428938412,0.000361370897,0.00310302027,114,27104.9386,2.710526316,1999.627273,21.62089443,1.921857283,0.480464321,0,0,0,0,38.91760998,2.402321604,49.96828935,0,0,0.960928641,0,30.74971653,0,21.14043011
울산,남구,0.4764,8375,0.477011417,6160,27.3,41011,,,,0.0912735702,0.0978085352,0.669507724,0.000344270196,0.00299563493,111,80161.1982,2,1994.720721,22.21235007,5.794526104,0.321918117,0,0.321918117,0,0,48.93155377,4.506853637,86.27405533,0.643836234,0,0.965754351,0.643836234,54.40416176,1.287672468,34.44523851
울산,동구,0.3986,4917,0.39425767,2767,26.3,37953,,,,0.183851006,0.227810015,0.360287023,0.000383053198,0.00278137438,67,70054.28358,0,2006.597015,24.38847546,0,0.659147985,0,0,0,0.659147985,45.48121099,1.977443956,56.02757875,0,0,0,0.659147985,29.66165934,0,23.07017949
울산,북구,0.534,6079,0.770134497,5857,19.1,42111,,,,0,0,0.462885478,0.000428850082,0.0028001927,75,8572.373333,5.466666667,2012.413333,13.71930306,1.371930306,0.457310102,0,0,0.914620204,0,24.69474551,2.28655051,33.84094755,0,0,0.914620204,0.457310102,23.7801253,0.457310102,16.00585357
울산,울주군,0.5536,8013,0.482843431,4454,23.8,37753,,,,0.127080746,0.14002642,0.379031016,0.000479329487,0.00408242613,98,2005.02449,0,1995.673469,5.417313735,2.257214056,0.451442811,0,3.160099679,4.062985301,0,28.44089711,3.61154249,36.1154249,1.805771245,0,0.451442811,0,20.76636932,0,20.76636932
경기,수원시,0.509,2716,0.58578539,27194,21.6,39288,2,27,7,0.0814194545,0.0769749468,0.434174725,0.0003192189,0.00273079508,331,21369.51903,1.951661631,,67.37616295,10.85803918,1.438467443,0,0,0,0.79666564,187.9774798,6.713297807,283.5997268,1.530638615,0,1.680169489,0.79666564,162.9335323,4.336982277,128.7981234
경기,성남시,0.7403,5171,0.491047699,18812,16.5,41487,3,18,3,0.0759255522,0.0818747779,0.515943875,0.000301107881,0.00269210511,204,54352.29461,3.769607843,1996.583333,53.48729293,5.214876568,1.11662434,0,0.207661462,0,0.207661462,153.0816614,5.274601743,268.7134781,0.433914779,0,1.965862043,1.947270188,147.8228982,1.965862043,108.5301536
경기,의정부시,0.1031,1610,0.548189579,10066,23.7,34713,,,,0.0906447881,0.0935679397,0.361634907,0.000293055878,0.002704652,107,21026.06075,6.429906542,,30.62166289,2.587746159,0.215645513,0,0,0,0,42.69781163,1.725164106,60.59638923,0.862582053,0,1.078227566,0.215645513,33.85634558,1.509518593,21.1332603
경기,안양시,0.6081,3296,0.562048856,12151,18.2,39395,,,,0.126996104,0.134180612,0.470079436,0.000291968139,0.00267370743,150,13039.02,0,1995.24,27.76435842,4.039662067,0.745271871,0,0,0,0.31863979,94.29352832,2.559792486,138.0925315,0.31863979,0.637279581,0.853264162,0.31863979,91.6097323,2.765102905,62.66813285
