account,post_num,post_date,text,num_likes,real_tags,year,month,year_month
megaboxon,1738,2014-07-22,"megaboxon
퇴근 후 영화보며 먹는 커리부어스트와 맥주는... 뭐라 말로 형언할 수 없는 경외감이... 아... 너는 사랑이어라

#독일식소세지 #커리부어스트 #소세지에커리가루솔솔 #맥주 #메가박스 #currywurst #beer #megabox #cinema #curry #sausage
522주",64,"['#독일식소세지', '#커리부어스트', '#소세지에커리가루솔솔', '#맥주', '#메가박스', '#currywurst', '#beer', '#megabox', '#cinema', '#curry', '#sausage']",2014,7,2014-07
megaboxon,1737,2014-07-23,"megaboxon
뭐지... 여긴 미래도시인가... 스페이스 오디세이...? 여긴 어디게~요?🎥 #메가박스 #스페이스오디세이 #미래도시 #필름 #megabox #cinema #theater #film #spaceodyssey
521주",45,"['#메가박스', '#스페이스오디세이', '#미래도시', '#필름', '#megabox', '#cinema', '#theater', '#film', '#spaceodyssey']",2014,7,2014-07
megaboxon,1736,2014-07-24,"megaboxon
매주 목요일은 새로운 영화들이 개봉하는 날이죠. 오늘 메가박스에서 영화 한 편 어떠세요🎥

#메가박스 #영화관 #megabox #cinema #theater #lighting #doublearmrest #sidetable #boutiquecinema
521주",57,"['#메가박스', '#영화관', '#megabox', '#cinema', '#theater', '#lighting', '#doublearmrest', '#sidetable', '#boutiquecinema']",2014,7,2014-07
megaboxon,1735,2014-07-26,"megaboxon
불금인데, 여러분 뭐하세영? 전 방금 심야영화로 <군도>를 돌비애트모스 사운드믹싱 버전으로 봤는데, 진짜.. 우어어어어어… 짱이었어요!! 생생한 입체음향을 구현해내는데, 특히 하정우가 대나무 숲에서 무술을 연마하는 씬에서 그 섬세한 사운드의 극치를 느낄 수 있어요👂 그나저나 오늘밤 꿈에 강동원 귀신 나올 것 같아 무서워여🙈 (제발와주세여 형님)

#메가박스 #M2 #돌비애트모스 #마이어사운드 #군도 #강동원귀신 #megabox #dolbyatmos #meyersound
521주",41,"['#메가박스', '#M2', '#돌비애트모스', '#마이어사운드', '#군도', '#강동원귀신', '#megabox', '#dolbyatmos', '#meyersound']",2014,7,2014-07
megaboxon,1734,2014-07-29,"megaboxon
오늘, 저, 부티크M에서, 영화봅니다. 하핫!

#메가박스 #메가박스코엑스 #스위트룸 #부티크M #101호 #부티크M101호 #MEGABOX #BoutiqueM #SuiteRoom #cinema #coex #boutiquecinema #recliner
521주",67,"['#메가박스', '#메가박스코엑스', '#스위트룸', '#부티크M', '#101호', '#부티크M101호', '#MEGABOX', '#BoutiqueM', '#SuiteRoom', '#cinema', '#coex', '#boutiquecinema', '#recliner']",2014,7,2014-07
megaboxon,1733,2014-07-30,"megaboxon
""쨘촌~ 캐니팝 사쭈세염~""
메가박스에만 있는 캐니멀팝콘. 아이들만 좋아하는게 아닙니다. 저도 영화볼 때 목에 걸고 갑니다. 그럼 2천원에 팝콘을 리필해주거등여. 데헷🙈

#메가박스 #캐니멀 #오즈 #캐니멀팝콘 #캐니팝 #megabox #canimal #canipop #popcorn
520주",76,"['#메가박스', '#캐니멀', '#오즈', '#캐니멀팝콘', '#캐니팝', '#megabox', '#canimal', '#canipop', '#popcorn']",2014,7,2014-07
megaboxon,1732,2014-08-01,"megaboxon
KEEP NACHO HOT AND CARRY ON. KEEP CALM AND NACHO ON✨🌛 #메가박스 #메가박스코엑스 #부티크M #오픈업바 #나쵸 #영화관 #megabox #boutiquem #boutiquecinema #cinema #snackbar #coex #nacho
520주",68,"['#메가박스', '#메가박스코엑스', '#부티크M', '#오픈업바', '#나쵸', '#영화관', '#megabox', '#boutiquem', '#boutiquecinema', '#cinema', '#snackbar', '#coex', '#nacho']",2014,8,2014-08
megaboxon,1731,2014-08-01,"megaboxon
불금🔥🔥 으항! 너무 쪼아! 이번 주말엔 오픈M 원마운트점에서 야외영화를 보겠어요⛺️🎥 여러분의 주말계획은?

#메가박스 #오픈M #별빛아래영화관 #원마운트 #야외영화관 #도심형캠핑시네마 #캠핑 #megabox #openm #openaircinema #cinema #campingcinema #tgif
520주",76,"['#메가박스', '#오픈M', '#별빛아래영화관', '#원마운트', '#야외영화관', '#도심형캠핑시네마', '#캠핑', '#megabox', '#openm', '#openaircinema', '#cinema', '#campingcinema', '#tgif']",2014,8,2014-08
megaboxon,1730,2014-08-04,"megaboxon
영화 <비긴 어게인>이 다음주에 개봉한다네요. <원스> 존 카니 감독의 신작입니다. 키이라 나이틀리, 마크 러팔로와 더불어 마룬5의 애덤 리반인의 음악적 교감이 기대되네요. 이번주에 <원스> 다시 한 번 봐야겠습니다. I don't know you, but I want you... #once #beginagain #johncarney #adamlevine #메가박스 #메가박스명대사 #영화명대사 #moviequotes #megabox
520주",55,"['#once', '#beginagain', '#johncarney', '#adamlevine', '#메가박스', '#메가박스명대사', '#영화명대사', '#moviequotes', '#megabox']",2014,8,2014-08
megaboxon,1729,2014-08-05,"megaboxon
original, caramel, garlic, and cheese. we have all the best popcorn flavors😋🌽 #퇴근할때사가야지 #메가박스 #메가박스팝콘이진리 #카라멜팝콘 #갈릭팝콘 #치즈팝콘 #영화관 #popcorn #caramelpopcorn #cheesepopcorn #garlicpopcorn #megabox #cinema
520주",63,"['#퇴근할때사가야지', '#메가박스', '#메가박스팝콘이진리', '#카라멜팝콘', '#갈릭팝콘', '#치즈팝콘', '#영화관', '#popcorn', '#caramelpopcorn', '#cheesepopcorn', '#garlicpopcorn', '#megabox', '#cinema']",2014,8,2014-08
cgv_korea,3200,2015-07-24,"['cgv_korea', '미니언이 몰려온다...🍌🍌🍌', '지금 CGV에서 절찬리 판매 중 ""제발 나를 데리고 가줭-🙊"" ""Tulaliloo ti amo♥️""', '#미니언즈 #minions #미니언즈콤보 #미니언즈피규어 #미니언 #CGV #CGV매점']",268,"['#미니언즈', '#minions', '#미니언즈콤보', '#미니언즈피규어', '#미니언', '#CGV', '#CGV매점']",2015,7,2015-07
