영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사,rating_mean,grade,genre,running_time,배급사 순위,grade_15세 이상 관람가,grade_전체 관람가,grade_청소년 관람불가,genre_드라마/로맨스/코미디,genre_스릴러/공포/미스터리,genre_애니메이션,genre_액션/어드벤처/SF,nation_미국,nation_미국 외 서구 국가,nation_한국,nation_한국 외 아시아
부산행,2016-07-20,93178283048,11565479,1788,151315,한국,(주)넥스트엔터테인먼트월드(NEW),2.922297297,15세 이상 관람가,액션/어드벤처/SF,118분,6,1,0,0,0,0,0,1,0,0,1,0
검사외전,2016-02-03,77320403264,9707581,1812,153532,한국,(주)쇼박스,4.071428571,15세 이상 관람가,스릴러/공포/미스터리,126분,2,1,0,0,0,1,0,0,0,0,1,0
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,미국,월트디즈니컴퍼니코리아 유한책임회사,5.835497835,12세 이상 관람가,액션/어드벤처/SF,147분,3,0,0,0,0,0,0,1,1,0,0,0
밀정,2016-09-07,61269783831,7500420,1444,138161,한국,워너브러더스 코리아(주),9.020289855,15세 이상 관람가,액션/어드벤처/SF,140분,4,1,0,0,0,0,0,1,0,0,1,0
터널,2016-08-10,57529484417,7120508,1105,113201,한국,(주)쇼박스,6.519021739,12세 이상 관람가,드라마/로맨스/코미디,126분,2,0,0,0,1,0,0,0,0,0,1,0
인천상륙작전,2016-07-27,55101410303,7049643,1049,97019,한국,(주)씨제이이엔엠,9.31379668,12세 이상 관람가,다큐멘터리/공연실황/기타,110분,1,0,0,0,0,0,0,0,0,0,1,0
럭키,2016-10-13,56444461256,6975290,1234,155977,한국,(주)쇼박스,7.87967581,15세 이상 관람가,드라마/로맨스/코미디,112분,2,1,0,0,1,0,0,0,0,0,1,0
곡성,2016-05-12,55863520382,6879908,1485,130322,한국,이십세기폭스코리아(주),2.03868472,15세 이상 관람가,스릴러/공포/미스터리,156분,5,1,0,0,0,1,0,0,0,0,1,0
덕혜옹주,2016-08-03,44393828109,5599229,964,97312,한국,롯데쇼핑㈜롯데엔터테인먼트,6.537735849,12세 이상 관람가,다큐멘터리/공연실황/기타,127분,7,0,0,0,0,0,0,0,0,0,1,0
마스터,2016-12-21,39784641065,4935320,1501,70786,한국,(주)씨제이이엔엠,4.165742794,15세 이상 관람가,액션/어드벤처/SF,143분,1,1,0,0,0,0,0,1,0,0,1,0
주토피아,2016-02-17,37096057742,4706158,735,131005,미국,월트디즈니컴퍼니코리아(주),9.680327869,전체 관람가,애니메이션,108분,3,0,1,0,0,0,1,0,1,0,0,0
판도라,2016-12-07,33955398164,4313864,1184,90758,한국,(주)넥스트엔터테인먼트월드(NEW),8.405479452,12세 이상 관람가,드라마/로맨스/코미디,136분,6,0,0,0,1,0,0,0,0,0,1,0
아가씨,2016-06-01,35211229991,4287839,1171,90365,한국,(주)씨제이이엔엠,2.733870968,청소년 관람불가,스릴러/공포/미스터리,144분,1,0,0,1,0,1,0,0,0,0,1,0
쿵푸팬더3,2016-01-28,31340798156,3984812,1365,97404,미국,(주)씨제이이엔엠,7.395572289,전체 관람가,애니메이션,95분,1,0,1,0,0,0,1,0,1,0,0,0
데드풀,2016-02-17,27595618651,3317196,1036,82521,미국,월트디즈니컴퍼니코리아 유한책임회사,3.658695652,청소년 관람불가,액션/어드벤처/SF,128분,3,0,0,1,0,0,0,1,1,0,0,0
나우 유 씨 미 2,2016-07-13,25116690113,3100113,1200,56981,미국,롯데쇼핑㈜롯데엔터테인먼트,3.450280112,12세 이상 관람가,스릴러/공포/미스터리,129분,7,0,0,0,0,1,0,0,1,0,0,0
형,2016-11-23,23113768293,2979659,993,83518,한국,(주)씨제이이엔엠,5.435055866,12세 이상 관람가,드라마/로맨스/코미디,110분,1,0,0,0,1,0,0,0,0,0,1,0
엑스맨: 아포칼립스,2016-05-25,24467887950,2938818,1262,66471,미국,이십세기폭스코리아(주),5.676666667,12세 이상 관람가,액션/어드벤처/SF,143분,5,0,0,0,0,0,0,1,1,0,0,0
미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,2718158,904,70451,미국,이십세기폭스코리아(주),5.950592885,12세 이상 관람가,액션/어드벤처/SF,127분,5,0,0,0,0,0,0,1,1,0,0,0
제이슨 본,2016-07-27,21253434663,2611966,827,39806,미국,유니버설픽쳐스인터내셔널 코리아(유),7.780368764,15세 이상 관람가,액션/어드벤처/SF,123분,8,1,0,0,0,0,0,1,1,0,0,0
도리를 찾아서,2016-07-06,20703899933,2601734,1091,55110,미국,월트디즈니컴퍼니코리아(주),8.536245059,전체 관람가,애니메이션,97분,3,0,1,0,0,0,1,0,1,0,0,0
아수라,2016-09-28,20576226662,2594028,1278,68040,한국,(주)씨제이이엔엠,4.136589404,청소년 관람불가,스릴러/공포/미스터리,132분,1,0,0,1,0,1,0,0,0,0,1,0
정글북,2016-06-09,21517647134,2537438,924,59041,미국,월트디즈니컴퍼니코리아(주),8.438322368,전체 관람가,애니메이션,63분,3,0,1,0,0,0,1,0,1,0,0,0
라라랜드,2016-12-07,19996139232,2385108,727,56408,미국,판씨네마(주),6.32994186,12세 이상 관람가,드라마/로맨스/코미디,127분,10,0,0,0,1,0,0,0,1,0,0,0
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,2256913,1709,95669,미국,워너브러더스 코리아(주),8.021043771,12세 이상 관람가,액션/어드벤처/SF,151분,4,0,0,0,0,0,0,1,1,0,0,0
굿바이 싱글,2016-06-29,16912706195,2108273,841,56380,한국,(주)쇼박스,8.423611111,15세 이상 관람가,애니메이션,105분,2,1,0,0,0,0,1,0,0,0,1,0
봉이 김선달,2016-07-06,16227052642,2051277,942,51418,한국,(주)씨제이이엔엠,8.112261146,12세 이상 관람가,드라마/로맨스/코미디,121분,1,0,0,0,1,0,0,0,0,0,1,0
레버넌트: 죽음에서 돌아온 자,2016-01-14,16107360130,2007188,967,55063,미국,이십세기폭스코리아(주),3.745421245,15세 이상 관람가,액션/어드벤처/SF,156분,5,1,0,0,0,0,0,1,1,0,0,0
컨저링 2,2016-06-09,15759374229,1928605,640,45816,미국,워너브러더스 코리아(주),9.37913486,15세 이상 관람가,스릴러/공포/미스터리,134분,4,1,0,0,0,1,0,0,1,0,0,0
수어사이드 스쿼드,2016-08-03,15874111188,1898220,823,29512,미국,워너브러더스 코리아(주),5.803475936,15세 이상 관람가,액션/어드벤처/SF,122분,4,1,0,0,0,0,0,1,1,0,0,0
인디펜던스 데이 : 리써전스,2016-06-22,12770879840,1500830,926,47432,미국,이십세기폭스코리아(주),3.202380952,12세 이상 관람가,액션/어드벤처/SF,120분,5,0,0,0,0,0,0,1,1,0,0,0
탐정 홍길동: 사라진 마을,2016-05-04,11516170845,1430885,764,41076,한국,(주)씨제이이엔엠,5.51059322,15세 이상 관람가,드라마/로맨스/코미디,125분,1,1,0,0,1,0,0,0,0,0,1,0
벤허,2016-09-14,11410860395,1400301,717,38941,미국,롯데쇼핑㈜롯데엔터테인먼트,8.033826638,15세 이상 관람가,액션/어드벤처/SF,85분,7,1,0,0,0,0,0,1,1,0,0,0
굿 다이노,2016-01-07,9756167238,1328913,814,33127,미국,월트디즈니컴퍼니코리아(주),9.427449909,전체 관람가,애니메이션,101분,3,0,1,0,0,0,1,0,1,0,0,0
셜록: 유령신부,2016-01-02,9992425049,1278894,891,32683,미국 외 서구 국가,플러스엠 엔터테인먼트,3.424074074,12세 이상 관람가,스릴러/공포/미스터리,115분,9,0,0,0,0,1,0,0,0,1,0,0
특별수사: 사형수의 편지,2016-06-16,9929947065,1241899,691,39372,한국,(주)넥스트엔터테인먼트월드(NEW),9.448717949,15세 이상 관람가,스릴러/공포/미스터리,120분,6,1,0,0,0,1,0,0,0,0,1,0
시간이탈자,2016-04-13,9731838195,1202384,733,55075,한국,(주)씨제이이엔엠,6.25,15세 이상 관람가,스릴러/공포/미스터리,107분,1,1,0,0,0,1,0,0,0,0,1,0
동주,2016-02-17,8889077089,1172641,543,39958,한국,플러스엠 엔터테인먼트,9.72428884,12세 이상 관람가,드라마/로맨스/코미디,110분,9,0,0,0,1,0,0,0,0,0,1,0
워크래프트: 전쟁의 서막,2016-06-09,10142271205,1163274,736,34087,미국,유니버설픽쳐스인터내셔널 코리아(유),9.101829268,12세 이상 관람가,액션/어드벤처/SF,122분,8,0,0,0,0,0,0,1,1,0,0,0
스타트렉 비욘드,2016-08-17,10190375820,1157156,716,38199,미국,롯데쇼핑㈜롯데엔터테인먼트,7.205128205,12세 이상 관람가,액션/어드벤처/SF,122분,7,0,0,0,0,0,0,1,1,0,0,0
미씽: 사라진 여자,2016-11-30,8881616256,1153109,790,40617,한국,플러스엠 엔터테인먼트,8.987252125,15세 이상 관람가,스릴러/공포/미스터리,100분,9,1,0,0,0,1,0,0,0,0,1,0
"당신, 거기 있어줄래요",2016-12-14,8999085248,1124815,767,39181,한국,롯데쇼핑㈜롯데엔터테인먼트,9.115789474,15세 이상 관람가,애니메이션,105분,7,1,0,0,0,0,1,0,0,0,1,0
라이트 아웃,2016-08-24,8893059975,1111284,659,34444,미국,워너브러더스 코리아(주),8.540816327,15세 이상 관람가,스릴러/공포/미스터리,81분,4,1,0,0,0,1,0,0,1,0,0,0
오빠생각,2016-01-21,8060591287,1069864,855,44801,한국,(주)넥스트엔터테인먼트월드(NEW),8.901289683,12세 이상 관람가,다큐멘터리/공연실황/기타,124분,6,0,0,0,0,0,0,0,0,0,1,0
"날, 보러와요",2016-04-07,8836144063,1063442,683,49237,한국,플러스엠 엔터테인먼트,8.159600998,청소년 관람불가,스릴러/공포/미스터리,91분,9,0,0,1,0,1,0,0,0,0,1,0
씽,2016-12-21,8203857789,1063175,795,19645,미국,유니버설픽쳐스인터내셔널 코리아(유),8.6875,전체 관람가,다큐멘터리/공연실황/기타,108분,8,0,1,0,0,0,0,0,1,0,0,0
"고산자, 대동여지도",2016-09-07,7801007258,974262,765,38048,한국,(주)씨제이이엔엠,5.189082278,전체 관람가,드라마/로맨스/코미디,129분,1,0,1,0,1,0,0,0,0,0,1,0
미 비포 유,2016-06-01,7663772990,945172,481,28458,미국,워너브러더스 코리아(주),8.184738956,12세 이상 관람가,드라마/로맨스/코미디,110분,4,0,0,0,1,0,0,0,1,0,0,0
매그니피센트 7,2016-09-14,7633490421,921317,579,27648,미국,유니버설픽쳐스인터내셔널 코리아(유),6.527044855,15세 이상 관람가,액션/어드벤처/SF,133분,8,1,0,0,0,0,0,1,1,0,0,0
갓 오브 이집트,2016-03-03,7621291624,919834,618,35323,미국,(주)시네마서비스,5.36971831,12세 이상 관람가,액션/어드벤처/SF,126분,11,0,0,0,0,0,0,1,1,0,0,0
레전드 오브 타잔,2016-06-29,7196970717,858402,593,28021,미국,워너브러더스 코리아(주),7.544847328,15세 이상 관람가,애니메이션,105분,4,1,0,0,0,0,1,0,1,0,0,0
좋아해줘,2016-02-17,6572774337,848148,637,27125,한국,(주)씨제이이엔엠,9.103864734,15세 이상 관람가,애니메이션,105분,1,1,0,0,0,0,1,0,0,0,1,0
브리짓 존스의 베이비,2016-09-28,6678585874,820995,509,30736,미국,유니버설픽쳐스인터내셔널 코리아(유),8.224537037,15세 이상 관람가,드라마/로맨스/코미디,123분,8,1,0,0,1,0,0,0,1,0,0,0
스플릿,2016-11-09,6102712539,758195,702,32616,한국,오퍼스픽쳐스(유),9.489386792,15세 이상 관람가,애니메이션,105분,11,1,0,0,0,0,1,0,0,0,1,0
런던 해즈 폴른,2016-03-10,5908367979,731584,526,37569,미국,플러스엠 엔터테인먼트,6.173913043,15세 이상 관람가,액션/어드벤처/SF,98분,9,1,0,0,0,0,0,1,1,0,0,0
국가대표 2,2016-08-10,5482232042,709929,562,20689,한국,플러스엠 엔터테인먼트,9.45911215,12세 이상 관람가,드라마/로맨스/코미디,126분,9,0,0,0,1,0,0,0,0,0,1,0
인페르노,2016-10-19,5656281303,689071,754,31809,미국,유니버설픽쳐스인터내셔널 코리아(유),6.975247525,15세 이상 관람가,스릴러/공포/미스터리,121분,8,1,0,0,0,1,0,0,1,0,0,0
그날의 분위기,2016-01-14,5149571612,653287,592,27186,한국,(주)쇼박스,7.878205128,15세 이상 관람가,드라마/로맨스/코미디,103분,2,1,0,0,1,0,0,0,0,0,1,0
사냥,2016-06-29,4912658515,645922,696,28862,한국,롯데쇼핑㈜롯데엔터테인먼트,2.64009434,15세 이상 관람가,액션/어드벤처/SF,93분,7,1,0,0,0,0,0,1,0,0,1,0
널 기다리며,2016-03-10,5234303336,635235,551,33774,한국,(주)넥스트엔터테인먼트월드(NEW),6.004152824,청소년 관람불가,스릴러/공포/미스터리,108분,6,0,0,1,0,1,0,0,0,0,1,0
설리: 허드슨강의 기적,2016-09-28,5234170754,627102,573,26609,미국,워너브러더스 코리아(주),9.479452055,12세 이상 관람가,드라마/로맨스/코미디,96분,4,0,0,0,1,0,0,0,1,0,0,0
잭 리처: 네버 고 백,2016-11-30,4638072258,611097,667,23659,미국,롯데쇼핑㈜롯데엔터테인먼트,6.785067873,15세 이상 관람가,액션/어드벤처/SF,118분,7,1,0,0,0,0,0,1,1,0,0,0
로그 원: 스타워즈 스토리,2016-12-28,5127537094,596487,907,15441,미국,월트디즈니컴퍼니코리아 유한책임회사,9.58106576,12세 이상 관람가,액션/어드벤처/SF,133분,3,0,0,0,0,0,0,1,1,0,0,0
아이스 에이지: 지구 대충돌,2016-07-20,4092484600,553760,580,13018,미국,이십세기폭스코리아(주),7.739795918,전체 관람가,애니메이션,94분,5,0,1,0,0,0,1,0,1,0,0,0
메카닉: 리크루트,2016-08-31,4458200800,551897,320,17497,미국,(주)제이앤씨미디어그룹,6.863095238,15세 이상 관람가,액션/어드벤처/SF,98분,11,1,0,0,0,0,0,1,1,0,0,0
거울나라의 앨리스,2016-09-07,4145733267,513202,515,19585,미국,월트디즈니컴퍼니코리아(주),7.652061856,12세 이상 관람가,액션/어드벤처/SF,112분,3,0,0,0,0,0,0,1,1,0,0,0
가려진 시간,2016-11-16,3946462400,510878,884,30404,한국,(주)쇼박스,9.080985915,12세 이상 관람가,드라마/로맨스/코미디,129분,2,0,0,0,1,0,0,0,0,0,1,0
명탐정 코난: 순흑의 악몽,2016-08-03,3766157500,508869,447,7983,한국 외 아시아,(주)씨제이이엔엠,8.794952681,12세 이상 관람가,애니메이션,112분,1,0,0,0,0,0,1,0,0,0,0,1
해어화,2016-04-13,3768200759,485695,572,32322,한국,롯데쇼핑㈜롯데엔터테인먼트,9.236162362,15세 이상 관람가,드라마/로맨스/코미디,120분,7,1,0,0,1,0,0,0,0,0,1,0
계춘할망,2016-05-19,3600794348,482516,526,19644,한국,(주)콘텐츠지오,9.183928571,15세 이상 관람가,드라마/로맨스/코미디,116분,11,1,0,0,1,0,0,0,0,0,1,0
"로봇, 소리",2016-01-27,3519595560,476665,609,25502,한국,롯데쇼핑㈜롯데엔터테인먼트,8.77559727,12세 이상 관람가,드라마/로맨스/코미디,117분,7,0,0,0,1,0,0,0,0,0,1,0
빅쇼트,2016-01-21,3622652707,446712,489,17316,미국,롯데쇼핑㈜롯데엔터테인먼트,7.821917808,청소년 관람불가,드라마/로맨스/코미디,130분,7,0,0,1,1,0,0,0,1,0,0,0
헌츠맨: 윈터스 워,2016-04-13,3544262706,445009,557,25789,미국,유니버설픽쳐스인터내셔널 코리아(유),7.75128866,12세 이상 관람가,액션/어드벤처/SF,113분,8,0,0,0,0,0,0,1,1,0,0,0
나를 잊지 말아요,2016-01-07,3398915000,425799,559,19138,한국,(주)씨제이이엔엠,4.516317016,15세 이상 관람가,드라마/로맨스/코미디,106분,1,1,0,0,1,0,0,0,0,0,1,0
언더 워터,2016-07-13,3111772391,384789,518,13058,미국,유니버설픽쳐스인터내셔널 코리아(유),9.493421053,15세 이상 관람가,드라마/로맨스/코미디,86분,8,1,0,0,1,0,0,0,1,0,0,0
클로버필드 10번지,2016-04-07,2928428655,357736,575,24680,미국,롯데쇼핑㈜롯데엔터테인먼트,7.806122449,15세 이상 관람가,애니메이션,105분,7,1,0,0,0,0,1,0,1,0,0,0
위자: 저주의 시작,2016-11-09,2637517406,331877,467,15660,미국,유니버설픽쳐스인터내셔널 코리아(유),6.683168317,12세 이상 관람가,스릴러/공포/미스터리,99분,8,0,0,0,0,1,0,0,1,0,0,0
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,2467275080,330725,403,6607,한국 외 아시아,(주)씨제이이엔엠,8.0125,전체 관람가,애니메이션,94분,1,0,1,0,0,0,1,0,0,0,0,1
아기배달부 스토크,2016-12-07,2436955700,322354,538,9388,미국,워너브러더스 코리아(주),9.074380165,전체 관람가,애니메이션,87분,4,0,1,0,0,0,1,0,1,0,0,0
위대한 소원,2016-04-21,2440004213,308398,524,22769,한국,(주)넥스트엔터테인먼트월드(NEW),7.341137124,15세 이상 관람가,애니메이션,105분,6,1,0,0,0,0,1,0,0,0,1,0
스포트라이트,2016-02-24,2402036255,299878,320,13482,미국,(주)팝엔터테인먼트,9.330291971,15세 이상 관람가,드라마/로맨스/코미디,129분,11,1,0,0,1,0,0,0,1,0,0,0
포인트 브레이크,2016-01-07,2323707051,294320,409,12111,미국,(주)시네마서비스,10.0,청소년 관람불가,액션/어드벤처/SF,122분,11,0,0,1,0,0,0,1,1,0,0,0
앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-04,2125772200,292495,380,8917,미국,이십세기폭스코리아(주),7.76,전체 관람가,애니메이션,92분,5,0,1,0,0,0,1,0,1,0,0,0
혼숨,2016-10-26,2258422445,288016,498,14510,한국,(주)프레인글로벌,7.32967033,15세 이상 관람가,스릴러/공포/미스터리,90분,11,1,0,0,0,1,0,0,0,0,1,0
비밀은 없다,2016-06-23,2029410239,250829,502,14749,한국,(주)씨제이이엔엠,3.715659341,청소년 관람불가,스릴러/공포/미스터리,102분,1,0,0,1,0,1,0,0,0,0,1,0
순정,2016-02-24,1738293033,240484,467,10545,한국,(주)리틀빅픽쳐스,8.010282776,12세 이상 관람가,드라마/로맨스/코미디,113분,11,0,0,0,1,0,0,0,0,0,1,0
닌자터틀 : 어둠의 히어로,2016-06-16,1934052000,235207,517,13943,미국,롯데쇼핑㈜롯데엔터테인먼트,9.068421053,12세 이상 관람가,액션/어드벤처/SF,112분,7,0,0,0,0,0,0,1,1,0,0,0
독수리 에디,2016-04-07,1799381120,226341,528,17411,미국,이십세기폭스코리아(주),9.298611111,12세 이상 관람가,드라마/로맨스/코미디,106분,5,0,0,0,1,0,0,0,1,0,0,0
원피스 필름 골드,2016-12-08,1700502100,215546,445,6730,한국 외 아시아,(주)씨제이이엔엠,9.340977011,12세 이상 관람가,애니메이션,120분,1,0,0,0,0,0,1,0,0,0,0,1
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,1472866700,202538,350,6707,한국 외 아시아,(주)넥스트엔터테인먼트월드(NEW),9.342592593,전체 관람가,애니메이션,104분,6,0,1,0,0,0,1,0,0,0,0,1
부활,2016-03-17,1247191600,176122,136,8581,미국,유니버설픽쳐스인터내셔널 코리아(유),9.438356164,12세 이상 관람가,드라마/로맨스/코미디,107분,8,0,0,0,1,0,0,0,1,0,0,0
조이,2016-03-10,1378007200,172253,405,12860,미국,이십세기폭스코리아(주),7.315677966,12세 이상 관람가,드라마/로맨스/코미디,124분,5,0,0,0,1,0,0,0,1,0,0,0
대배우,2016-03-30,1246200228,169984,474,16517,한국,(주)대명문화공장,5.791666667,12세 이상 관람가,드라마/로맨스/코미디,108분,11,0,0,0,1,0,0,0,0,0,1,0
달빛궁궐,2016-09-07,1147863700,153097,425,6067,한국,(주)넥스트엔터테인먼트월드(NEW),5.133333333,전체 관람가,애니메이션,80분,6,0,1,0,0,0,1,0,0,0,1,0
미스컨덕트,2016-03-30,1138175038,149095,470,12017,미국,(주)박수엔터테인먼트,8.150537634,15세 이상 관람가,스릴러/공포/미스터리,105분,11,1,0,0,0,1,0,0,1,0,0,0
13시간,2016-03-03,1170500514,145952,380,9615,미국,롯데쇼핑㈜롯데엔터테인먼트,8.661538462,15세 이상 관람가,액션/어드벤처/SF,144분,7,1,0,0,0,0,0,1,1,0,0,0
극장판 아이엠스타 : 꿈의 오디션!,2016-02-11,1048246100,141351,254,3903,한국 외 아시아,(주)씨제이이엔엠,8.782608696,전체 관람가,애니메이션,89분,1,0,1,0,0,0,1,0,0,0,0,1
제 5침공,2016-02-25,1041049900,135874,312,5195,미국,유니버설픽쳐스인터내셔널 코리아(유),5.197674419,12세 이상 관람가,액션/어드벤처/SF,112분,8,0,0,0,0,0,0,1,1,0,0,0
극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,905899900,135398,200,5395,한국,(주)아이코닉스,8.784615385,전체 관람가,애니메이션,48분,11,0,1,0,0,0,1,0,0,0,1,0
마이 리틀 자이언트,2016-08-10,991375900,125800,128,3409,미국,월트디즈니컴퍼니코리아(주),8.609375,전체 관람가,액션/어드벤처/SF,117분,3,0,1,0,0,0,0,1,1,0,0,0
최강전사 미니특공대: 영웅의 탄생,2016-02-04,877875200,117170,349,4863,한국,(주)에스에이엠지엔터테인먼트,8.28,전체 관람가,애니메이션,68분,11,0,1,0,0,0,1,0,0,0,1,0
피터와 드래곤,2016-09-28,865600600,109137,167,5201,미국,월트디즈니컴퍼니코리아(주),8.604790419,전체 관람가,액션/어드벤처/SF,103분,3,0,1,0,0,0,0,1,1,0,0,0
다이버전트 시리즈: 얼리전트,2016-05-12,818897545,103556,393,7611,미국,(주)키다리이엔티,8.981586402,12세 이상 관람가,액션/어드벤처/SF,121분,11,0,0,0,0,0,0,1,1,0,0,0
무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,784148500,97804,317,6407,한국,롯데쇼핑㈜롯데엔터테인먼트,4.034246575,15세 이상 관람가,스릴러/공포/미스터리,94분,7,1,0,0,0,1,0,0,0,0,1,0
바스티유 데이,2016-10-13,766892600,96579,422,10270,미국,롯데쇼핑㈜롯데엔터테인먼트,8.459349593,15세 이상 관람가,액션/어드벤처/SF,92분,7,1,0,0,0,0,0,1,1,0,0,0
걷기왕,2016-10-20,710905075,95542,462,10476,한국,CGV아트하우스,8.739316239,12세 이상 관람가,드라마/로맨스/코미디,93분,11,0,0,0,1,0,0,0,0,0,1,0
일사각오,2016-03-17,682581500,94767,66,2702,한국,파이오니아21,9.651162791,12세 이상 관람가,드라마/로맨스/코미디,115분,11,0,0,0,1,0,0,0,0,0,1,0
루돌프와 많이있어,2016-12-28,682883600,89510,375,1733,한국 외 아시아,(주)씨제이이엔엠,9.105029586,전체 관람가,애니메이션,89분,1,0,1,0,0,0,1,0,0,0,0,1
로스트 인 더스트,2016-11-03,633772822,81236,354,7248,미국,플러스엠 엔터테인먼트,8.825842697,15세 이상 관람가,스릴러/공포/미스터리,103분,9,1,0,0,0,1,0,0,1,0,0,0
오 마이 그랜파,2016-03-17,632806532,79701,396,8842,미국,판씨네마(주),7.264354067,청소년 관람불가,드라마/로맨스/코미디,100분,10,0,0,1,1,0,0,0,1,0,0,0
엽기적인 그녀 2,2016-05-12,594260900,77124,387,6132,한국,(주)리틀빅픽쳐스,3.306358382,15세 이상 관람가,드라마/로맨스/코미디,99분,11,1,0,0,1,0,0,0,0,0,1,0
하이큐!! 끝과 시작,2016-11-16,544846000,75704,130,3683,한국 외 아시아,(주)넥스트엔터테인먼트월드(NEW),8.450617284,12세 이상 관람가,애니메이션,89분,6,0,0,0,0,0,1,0,0,0,0,1
언더월드: 블러드 워,2016-11-30,567567100,72071,183,4953,미국,유니버설픽쳐스인터내셔널 코리아(유),8.086206897,15세 이상 관람가,액션/어드벤처/SF,91분,8,1,0,0,0,0,0,1,1,0,0,0
어카운턴트,2016-10-13,548544928,69529,375,6965,미국,워너브러더스 코리아(주),8.647435897,15세 이상 관람가,드라마/로맨스/코미디,127분,4,1,0,0,1,0,0,0,1,0,0,0
스티브 잡스,2016-01-21,535351276,68815,384,6396,미국,유니버설픽쳐스인터내셔널 코리아(유),7.123595506,12세 이상 관람가,드라마/로맨스/코미디,122분,8,0,0,0,1,0,0,0,1,0,0,0
아이엠스타 뮤직어워드,2016-09-14,455696500,67027,358,3019,한국 외 아시아,(주)씨제이이엔엠,7.750809524,전체 관람가,애니메이션,56분,1,0,1,0,0,0,1,0,0,0,0,1
올레,2016-08-25,522938900,66883,338,5126,한국,(주)대명문화공장,7.899038462,15세 이상 관람가,드라마/로맨스/코미디,103분,11,1,0,0,1,0,0,0,0,0,1,0
극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016-11-03,503900800,64622,406,3805,한국 외 아시아,(주)넥스트엔터테인먼트월드(NEW),9.173333333,전체 관람가,액션/어드벤처/SF,60분,6,0,1,0,0,0,0,1,0,0,0,1
두 남자,2016-11-30,459566121,60365,397,7199,한국,(주)키다리이엔티,7.670343137,청소년 관람불가,스릴러/공포/미스터리,91분,11,0,0,1,0,1,0,0,0,0,1,0
극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,453920100,59147,282,2136,한국 외 아시아,(주)넥스트엔터테인먼트월드(NEW),9.340659341,전체 관람가,애니메이션,103분,6,0,1,0,0,0,1,0,0,0,0,1
극장판 프랭키와 친구들: 생명의 나무,2016-04-13,410560600,56842,258,2763,한국,예지림엔터테인먼트,8.791208791,전체 관람가,애니메이션,72분,11,0,1,0,0,0,1,0,0,0,1,0
빅뱅 메이드,2016-06-30,466486700,55582,56,1794,한국,씨제이 씨지브이(CJ CGV)(주),9.943925234,12세 이상 관람가,다큐멘터리/공연실황/기타,114분,11,0,0,0,0,0,0,0,0,0,1,0
파라노말 액티비티: 더 고스트 디멘션,2016-04-21,454055200,54972,353,5654,미국,(주)박수엔터테인먼트,5.786885246,15세 이상 관람가,스릴러/공포/미스터리,88분,11,1,0,0,0,1,0,0,1,0,0,0
잡아야 산다,2016-01-07,410361400,54450,219,3187,한국,오퍼스픽쳐스(유),7.193548387,15세 이상 관람가,드라마/로맨스/코미디,96분,11,1,0,0,1,0,0,0,0,0,1,0
포레스트: 죽음의 숲,2016-03-30,391633862,50631,312,4507,미국,유니버설픽쳐스인터내셔널 코리아(유),5.877906977,12세 이상 관람가,스릴러/공포/미스터리,93분,8,0,0,0,0,1,0,0,1,0,0,0
목숨 건 연애,2016-12-14,361668800,47805,393,5786,한국,오퍼스픽쳐스(유),4.920731707,15세 이상 관람가,드라마/로맨스/코미디,103분,11,1,0,0,1,0,0,0,0,0,1,0
머니 몬스터,2016-08-31,367961600,47226,151,5014,미국,유니버설픽쳐스인터내셔널 코리아(유),8.137573964,15세 이상 관람가,스릴러/공포/미스터리,98분,8,1,0,0,0,1,0,0,1,0,0,0
트리플 9,2016-04-20,365164300,47197,329,5792,미국,(주)리틀빅픽쳐스,7.761744966,청소년 관람불가,스릴러/공포/미스터리,115분,11,0,0,1,0,1,0,0,1,0,0,0
하드코어 헨리,2016-05-19,399211211,46373,239,3060,미국,㈜코리아스크린,7.156716418,청소년 관람불가,액션/어드벤처/SF,96분,11,0,0,1,0,0,0,1,1,0,0,0
블레어 위치,2016-11-23,367484200,46285,172,3608,미국,㈜코리아스크린,8.464480874,15세 이상 관람가,스릴러/공포/미스터리,89분,11,1,0,0,0,1,0,0,1,0,0,0
미스 사이공 : 25주년 특별 공연,2016-11-24,891218300,46080,100,1756,미국,유니버설픽쳐스인터내셔널 코리아(유),9.835294118,15세 이상 관람가,다큐멘터리/공연실황/기타,175분,8,1,0,0,0,0,0,0,1,0,0,0
스푹스:MI5,2016-03-17,316642549,41416,341,6090,미국 외 서구 국가,(주)영화사 빅,7.066176471,15세 이상 관람가,액션/어드벤처/SF,101분,11,1,0,0,0,0,0,1,0,1,0,0
