영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사,rating_mean,grade,genre,running_time,배급사 순위,grade_15세 이상 관람가,grade_전체 관람가,grade_청소년 관람불가,genre_드라마/로맨스/코미디,genre_스릴러/공포/미스터리,genre_애니메이션,genre_액션/어드벤처/SF,nation_미국,nation_미국 외 서구 국가,nation_한국,nation_한국 외 아시아
"극장판 포켓몬스터: 정글의 아이, 코코",2021-09-15,1941940320,213913,699,14044,한국 외 아시아,(주)넥스트엔터테인먼트월드(NEW),8.96,전체 관람가,애니메이션,99분,8,0,1,0,0,0,1,0,0,0,0,1
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,2021-09-15,1896872490,199726,593,13880,한국 외 아시아,(주)씨제이이엔엠,9.395348837,전체 관람가,애니메이션,103분,11,0,1,0,0,0,1,0,0,0,0,1
매트릭스: 리저렉션,2021-12-22,1923032630,191280,970,15414,미국,워너브러더스 코리아(주),6.997222222,15세 이상 관람가,액션/어드벤처/SF,147분,5,1,0,0,0,0,0,1,1,0,0,0
방법: 재차의,2021-07-28,1556061010,175578,838,19136,한국,(주)씨제이이엔엠,5.88372093,15세 이상 관람가,스릴러/공포/미스터리,109분,11,1,0,0,0,1,0,0,0,0,1,0
새해전야,2021-02-10,1571840850,171451,906,21525,한국,(주)에이스메이커무비웍스,9.106796117,12세 이상 관람가,드라마/로맨스/코미디,114분,11,0,0,0,1,0,0,0,0,0,1,0
고장난 론,2021-10-27,1440020590,160005,904,17689,미국,월트디즈니컴퍼니코리아 유한책임회사,8.779069767,전체 관람가,애니메이션,106분,1,0,1,0,0,0,1,0,1,0,0,0
카오스 워킹,2021-02-24,1230782480,147443,780,19535,미국,롯데컬처웍스(주)롯데엔터테인먼트,6.093596059,15세 이상 관람가,액션/어드벤처/SF,109분,3,1,0,0,0,0,0,1,1,0,0,0
파이프라인,2021-05-26,1216420450,139818,777,20598,한국,플러스엠 엔터테인먼트,9.507507508,15세 이상 관람가,스릴러/공포/미스터리,108분,11,1,0,0,0,1,0,0,0,0,1,0
톰과 제리,2021-02-24,1165273600,135512,918,17303,미국,워너브러더스 코리아(주),7.923884514,전체 관람가,애니메이션,100분,5,0,1,0,0,0,1,0,1,0,0,0
노바디,2021-04-07,1274881750,134037,577,19852,미국,유니버설픽쳐스인터내셔널 코리아(유),8.986013986,15세 이상 관람가,액션/어드벤처/SF,91분,4,1,0,0,0,0,0,1,1,0,0,0
스파이럴,2021-05-12,1300063130,132427,691,20252,그 외,(주)올스타엔터테인먼트,8.264317181,청소년 관람불가,스릴러/공포/미스터리,93분,11,0,0,1,0,1,0,0,0,0,0,0
올드,2021-08-18,1107856560,116240,550,12110,미국,유니버설픽쳐스인터내셔널 코리아(유),6.417355372,12세 이상 관람가,스릴러/공포/미스터리,108분,4,0,0,0,0,1,0,0,1,0,0,0
해피 뉴 이어,2021-12-29,1011453370,114046,832,6930,한국,(주)씨제이이엔엠,5.205882353,12세 이상 관람가,드라마/로맨스/코미디,138분,11,0,0,0,1,0,0,0,0,0,1,0
고스트버스터즈 라이즈,2021-12-01,1066122980,114001,888,19143,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,7.775119617,12세 이상 관람가,스릴러/공포/미스터리,124분,2,0,0,0,0,1,0,0,1,0,0,0
